4959	9219	9689	6086	4909	4106	5154
3286	8242	7079	0745	8021	6172	5695
2413	6681	4283	3249	4156	3313	9859
4018	4077	8983	3971	9619	7360	8265
8238	4912	6098	9241	9396	5571	6591
9664	6885	4877	9736	6164	9051	5239
3387	2375	5360	0926	2306	0930	6537
2470	1440	4758	1162	7119	6751	7808
4766	7336	8550	6759	0945	2094	5480
5607	9548	4776	5615	7492	9955	4317
7631	2543	3498	3485	1924	7010	6636
1022	0474	2768	8388	9779	0978	0712
1874	9117	8355	3830	9262	2342	6897
8108	2907	4120	5781	1452	2788	7023
4181	9806	4659	6851	4695	8934	8255
0425	3023	5380	2814	1563	3987	7116
7947	3438	0284	4461	0240	8785	6054
4934	3501	6734	3173	9010	8717	6560
2071	0517	6989	2241	3795	5649	0374
8961	3518	7300	7165	8871	5157	4031
6780	4454	6358	1897	6197	0932	9208
2483	7624	9190	5719	8670	1938	0345
3069	7408	4899	6449	8415	4528	8841
2133	7508	0281	5073	7625	9653	1311
2185	0424	6584	0837	5065	4703	7167
1643	6390	2026	3282	5804	9961	1544
7301	8951	4105	5817
